"name","group"
"ICT disaster recovery analyst","Software and applications developers and analysts not elsewhere classified"
"filigree maker","Jewellery and precious-metal workers"
"teacher of talented and gifted students","Special needs teachers"
"embedded system designer","Systems analysts"
"software tester","Software and applications developers and analysts not elsewhere classified"
"twisting machine operator","Fibre preparing, spinning and winding machine operators"
"mine manager","Mining managers"
"optical technician","Dispensing opticians"
"university teaching assistant","University and higher education teachers"
"quality services manager","Business services and administration managers not elsewhere classified"
"sporting accessories specialised seller","Shop sales assistants"
"learning support teacher","Special needs teachers"
"renewable energy consultant","Technical and medical sales professionals (excluding ICT)"
"sports instructor","Sports coaches, instructors and officials"
"sociology lecturer","University and higher education teachers"
"gambling, betting, and lottery games designer","Graphic and multimedia designers"
"production engineering technician","Mechanical engineering technicians"
"environmental education officer","Travel guides"
"kinesiologist","Health professionals not elsewhere classified"
"cosmetic chemist","Chemists"
"environmental scientist","Environmental protection professionals"
"sociologist","Sociologists, anthropologists and related professionals"
"industrial cook","Cooks"
"clock and watchmaker","Precision-instrument makers and repairers"
"footwear product developer","Physical and engineering science technicians not elsewhere classified"
"import export manager in machinery, industrial equipment, ships and aircraft","Supply, distribution and related managers"
"blending plant operator","Food and related products machine operators"
"tyre vulcaniser","Rubber products machine operators"
"coquille casting worker","Metal moulders and coremakers"
"ICT help desk manager","Information and communications technology user support technicians"
"bookshop specialised seller","Shop sales assistants"
"hydroelectric plant operator","Power production plant operators"
"crossing guard","Protective services workers not elsewhere classified"
"gunsmith","Toolmakers and related workers"
"rail switchperson","Railway brake, signal and switch operators"
"business economics researcher","Economists"
"corporate social responsibility manager","Business services and administration managers not elsewhere classified"
"water engineering technician","Civil engineering technicians"
"campaign canvasser","Public relations professionals"
"online community manager","Public relations professionals"
"home care aide","Home-based personal care workers"
"waste management supervisor","Manufacturing supervisors"
"textile industry machinery distribution manager","Supply, distribution and related managers"
"customer service representative","Enquiry clerks"
"music director","Musicians, singers and composers"
"clothing specialised seller","Shop sales assistants"
"special educational needs head teacher","Education managers"
"commercial sales representative","Commercial sales representatives"
"semiconductor processor","Electrical and electronic equipment assemblers"
"footwear factory warehouse operator","Stock clerks"
"gambling manager","Sports, recreation and cultural centre managers"
"product development manager","Research and development managers"
"hand brick moulder","Potters and related workers"
"medical records clerk","Medical records and health information technicians"
"horse breeder","Livestock and dairy producers"
"orthopaedic footwear technician","Shoemakers and related workers"
"braiding machine operator","Textile, fur and leather products machine operators not elsewhere classified"
"construction painter","Painters and related workers"
"data warehouse designer","Database designers and administrators"
"restoration technician","Motor vehicle mechanics and repairers"
"linen room attendant","Hand launderers and pressers"
"animal artificial insemination technician","Veterinary technicians and assistants"
"optical instrument assembler","Precision-instrument makers and repairers"
"kennel worker","Pet groomers and animal care workers"
"actuarial assistant","Statistical, mathematical and related associate professionals"
"pesticide mixer","Chemical products plant and machine operators"
"ICT presales engineer","Information and communications technology sales professionals"
"motor vehicle aftersales manager","Sales and marketing managers"
"plasma cutting machine operator","Metal working machine tool setters and operators"
"cutting machine operator","Shoemaking and related machine operators"
"fossil-fuel power plant operator","Power production plant operators"
"textile chemical quality technician","Physical and engineering science technicians not elsewhere classified"
"precision mechanics supervisor","Manufacturing supervisors"
"welding engineer","Mechanical engineers"
"lasting machine operator","Shoemaking and related machine operators"
"anaesthetic technician","Health associate professionals not elsewhere classified"
"sauce production operator","Food and related products machine operators"
"biophysicist","Biologists, botanists, zoologists and related professionals"
"wholesale merchant in household goods","Trade brokers"
"import export manager in hardware, plumbing and heating equipment and supplies","Supply, distribution and related managers"
"land-based machinery supervisor","Mobile farm and forestry plant operators"
"mine geologist","Geologists and geophysicists"
"cigar brander","Packing, bottling and labelling machine operators"
"solderer","Welders and flamecutters"
"dental instrument assembler","Electrical and electronic equipment assemblers"
"hospitality vocational teacher","Vocational education teachers"
"building caretaker","Building caretakers"
"wearing apparel patternmaker","Garment and related pattern-makers and cutters"
"ammunition assembler","Assemblers not elsewhere classified"
"engraving machine operator","Metal working machine tool setters and operators"
"radiation protection technician","Chemical and physical science technicians"
"gambling, betting, and lottery game developer","Mathematicians, actuaries and statisticians"
"consultant social worker","Social work and counselling professionals"
"machinery assembly coordinator","Production clerks"
"choreographer","Dancers and choreographers"
"spark erosion machine operator","Metal working machine tool setters and operators"
"knitting textile technician","Weaving and knitting machine operators"
"tiling supervisor","Construction supervisors"
"mergers and acquisitions analyst","Financial analysts"
"fisheries deckhand","Ships’ deck crews and related workers"
"specialist nurse","Nursing professionals"
